Country_Code,Region,IncomeGroup,Country_Name,Air_pollution,Alcohol_consumption,Smoking,Lung_cancer_death_rate,Lung_cancer_death,Population,
QAT,Middle East & North Africa,High income,Qatar,91.18732793,1.5325,12.825,3.60,98,2724727,
ROU,Europe & Central Asia,High income,Romania,14.61134019,14.725,32.325,56.49,11066,19588715,
RWA,Sub-Saharan Africa,Low income,Rwanda,43.21021716,11.565,20.125,3.61,432,11980960,
SAU,Middle East & North Africa,High income,Saudi Arabia,87.94544668,0.18,14.2,4.09,1355,33101183,
SEN,Sub-Saharan Africa,Lower middle income,Senegal,40.6958259,0.785,11.1,5.60,863,15419354,
SGP,East Asia & Pacific,High income,Singapore,19.0782565,2.1325,16.475,25.03,1405,5612253,
SLB,East Asia & Pacific,Lower middle income,Solomon Islands,11.87912184,1.4875,40.575,14.94,95,636030,
SLE,Sub-Saharan Africa,Low income,Sierra Leone,21.62594668,5.7075,29.675,4.65,348,7488427,
SLV,Latin America & Caribbean,Lower middle income,El Salvador,24.47229229,3.64,12.525,9.35,597,6388124,
SRB,Europe & Central Asia,Upper middle income,Serbia,24.72635819,10.195,43,103.98,7300,7020858,
SVN,Europe & Central Asia,High income,Slovenia,16.02397998,12.295,23.875,59.86,1237,2066388,
SWE,Europe & Central Asia,High income,Sweden,6.18466509,8.9475,35.4,42.30,4254,10057698,
SWZ,Sub-Saharan Africa,Lower middle income,Eswatini,17.16878731,7.7075,11,8.98,101,1124808,
SYC,Sub-Saharan Africa,High income,Seychelles,20.17864936,10.5725,25.25,18.78,18,95843,
TCD,Sub-Saharan Africa,Low income,Chad,66.0292055,4.2475,11.55,4.08,613,15016761,
TGO,Sub-Saharan Africa,Low income,Togo,35.73133561,2.3825,11.075,4.78,368,7698476,
THA,East Asia & Pacific,Upper middle income,Thailand,26.25672656,7.3425,27.725,30.64,21208,69209817,
TKM,Europe & Central Asia,Upper middle income,Turkmenistan,21.76772098,4.955,9.2,6.43,370,5757667,
TON,East Asia & Pacific,Upper middle income,Tonga,10.78547886,1.5225,32.5,21.57,22,102002,
TUN,Middle East & North Africa,Lower middle income,Tunisia,37.65599375,1.5525,30.375,20.69,2366,11433438,
TZA,Sub-Saharan Africa,Lower middle income,Tanzania,29.07664051,9.5325,18.9,3.71,2027,54660345,
UGA,Sub-Saharan Africa,Low income,Uganda,50.49432132,13.7925,17.175,2.29,943,41166588,
UKR,Europe & Central Asia,Lower middle income,Ukraine,20.30977582,12.05,32.875,36.76,16481,44831135,
URY,Latin America & Caribbean,High income,Uruguay,9.27488332,7.41,29.575,49.79,1711,3436645,
UZB,Europe & Central Asia,Lower middle income,Uzbekistan,28.4559012,3.8575,21.9,7.56,2448,32388600,
VNM,East Asia & Pacific,Lower middle income,Vietnam,29.62672834,4.4,27.775,24.44,23123,94600643,
VUT,East Asia & Pacific,Lower middle income,Vanuatu,11.65277703,1.5525,22.4,14.01,40,285499,
WSM,East Asia & Pacific,Lower middle income,Samoa,11.54802701,3.3875,33.375,8.19,16,195358,
ZAF,Sub-Saharan Africa,Upper middle income,South Africa,25.10220499,9.8125,22.15,15.56,8870,57009751,
ZMB,Sub-Saharan Africa,Low income,Zambia,27.43803476,5.0675,17.55,3.87,652,16853608,
ZWE,Sub-Saharan Africa,Lower middle income,Zimbabwe,22.25167109,3.52,17.075,6.74,960,14236599,
